Landmark,Road,Landmark_road,Lat,Lon
Gichuru Gitanga,,Gichuru Gitanga ,-1.289636,36.761571
Gilgil junction,Naivasha Nairobi Highway,Gilgil junction Naivasha Nairobi Highway,-0.5004083,36.315286
Gilgil weigh bridge,Nairobi Nakuru Highway,Gilgil weigh bridge Nairobi Nakuru Highway,-0.577874,36.366267
Gilgil weigh bridge,Nakuru Nairobi Highway,Gilgil weigh bridge Nakuru Nairobi Highway,-0.577874,36.366267
Gilgil weigh bridge,Nairobi Nakuru Rd,Gilgil weigh bridge Nairobi Nakuru Rd,-0.577874,36.366267
Gilgil weigh bridge,Nairobi Nakuru Road,Gilgil weigh bridge Nairobi Nakuru Road,-0.577874,36.366267
Gilgil weigh bridge,Nakuru Nairobi Road,Gilgil weigh bridge Nakuru Nairobi Road,-0.577874,36.366267
Gilgil weigh bridge,Nakuru Highway,Gilgil weigh bridge Nakuru Highway,-0.577874,36.366267
Gilgil weighbridge,Nairobi Nakuru Highway,Gilgil weighbridge Nairobi Nakuru Highway,-0.577874,36.366267
Gilgil weighbridge,Nakuru Nairobi Highway,Gilgil weighbridge Nakuru Nairobi Highway,-0.577874,36.366267
Gilgil weighbridge,Nairobi Nakuru Rd,Gilgil weighbridge Nairobi Nakuru Rd,-0.577874,36.366267
Gilgil weighbridge,Nairobi Nakuru Road,Gilgil weighbridge Nairobi Nakuru Road,-0.577874,36.366267
Gilgil weighbridge,Nakuru Nairobi Road,Gilgil weighbridge Nakuru Nairobi Road,-0.577874,36.366267
Gilgil weighbridge,Nakuru Highway,Gilgil weighbridge Nakuru Highway,-0.577874,36.366267
GIT Kisii, ,GIT Kisii  ,-0.681595,34.777559
Githurai 45,,Githurai 45 ,-1.207426,36.913653
Githurai flyover,,Githurai flyover ,-1.2042324,36.9165889
Githurai Roysambu,Thika Rd,Githurai Roysambu Thika Rd,-1.21339,36.8997
Githurai Roysambu,Thika Road,Githurai Roysambu Thika Road,-1.21339,36.8997
Githurai Roysambu,Thika Superhighway,Githurai Roysambu Thika Superhighway,-1.21339,36.8997
Githurai Roysambu,Thika Super Highway,Githurai Roysambu Thika Super Highway,-1.21339,36.8997
Githurai Roysambu,Thika Highway,Githurai Roysambu Thika Highway,-1.21339,36.8997
Githurai Roysambu,Thikard,Githurai Roysambu Thikard,-1.21339,36.8997
Githurai stage,,Githurai stage ,-1.203089,36.917606
